Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA CLOTILDE
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,NAPO
,Latitud :,2°29'13.29'',Longitud :,73°40'44.51'',Altitud :,113 msnm.
,Tipo :,HLM - Hidrológica,Código :,240110
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-12-01,7.45,7.44,7.43,7.48
2020-12-02,7.56,7.58,7.61,7.60
2020-12-03,7.59,7.58,7.57,7.57
2020-12-04,7.57,7.56,7.55,7.54
2020-12-05,7.50,7.51,7.51,7.57
2020-12-06,7.93,7.99,8.18,8.31
2020-12-07,8.50,8.52,8.56,8.57
2020-12-08,8.60,8.60,8.60,8.61
2020-12-09,8.63,8.63,8.63,8.63
2020-12-10,8.61,8.61,8.60,8.60
2020-12-11,8.57,8.56,8.53,8.50
2020-12-12,8.38,8.36,8.33,8.30
2020-12-13,8.26,8.25,8.24,8.21
2020-12-14,8.19,8.17,8.15,8.11
2020-12-15,8.02,8.01,7.98,7.96
2020-12-16,7.95,7.97,7.99,8.07
2020-12-17,8.26,8.28,8.33,8.35
2020-12-18,8.32,8.28,8.24,8.20
2020-12-19,8.06,8.04,8.01,7.97
2020-12-20,7.90,7.89,7.87,7.86
2020-12-21,7.88,7.91,7.97,8.03
2020-12-22,8.24,8.29,8.35,8.42
2020-12-23,8.47,8.47,8.47,8.45
2020-12-24,8.24,8.24,8.22,8.21
2020-12-25,8.08,8.05,8.01,7.98
2020-12-26,7.89,7.87,7.84,7.82
2020-12-27,7.77,7.77,7.76,7.77
2020-12-28,7.78,7.78,7.77,7.77
2020-12-29,7.78,7.78,7.79,7.80
2020-12-30,7.76,7.75,7.74,7.64
2020-12-31,7.81,7.83,7.87,7.89
