AÑO / MES / DÍA,HORA,NIVEL DEL RIO (m),PRECIPITACIÓN (mm/hora)
2022/03/09,18:00,S/D,S/D
2022/03/09,19:00,S/D,S/D
2022/03/09,20:00,S/D,S/D
2022/03/09,21:00,S/D,S/D
2022/03/09,22:00,S/D,S/D
2022/03/11,11:00,S/D,S/D
2022/03/11,16:00,S/D,S/D
2022/03/11,17:00,S/D,S/D
2022/03/11,18:00,S/D,S/D
2022/03/11,19:00,S/D,S/D
2022/03/11,20:00,S/D,S/D
