AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2018-07-01,32.2,20.6,88.7,0.0
2018-07-02,33.2,19.8,84.8,0.0
2018-07-03,33.6,21.2,83.2,0.0
2018-07-04,32.8,21.8,78.0,0.0
2018-07-05,32,20.6,82.9,0.0
2018-07-06,34,21.4,79.6,0.0
2018-07-07,31.6,20.2,86.5,0.0
2018-07-08,33,21.2,81.6,11.7
2018-07-09,27.5,21,95.3,36.0
2018-07-10,25,21.6,96.9,34.5
2018-07-11,26.6,16.8,87.9,0.0
2018-07-12,29.5,17.4,85.6,0.0
2018-07-13,30,20.6,87.0,0.0
2018-07-14,33,21,83.7,0.0
2018-07-15,33.2,20.4,78.7,0.0
2018-07-16,33.6,20.8,80.6,0.0
2018-07-17,29.2,21.6,87.7,25.3
2018-07-18,28.8,21,89.7,1.5
2018-07-19,31.4,21.8,84.6,0.0
2018-07-20,29.2,22,88.0,0.5
2018-07-21,30,21.8,82.7,3.2
2018-07-22,28,21.2,92.5,0.0
2018-07-23,31.2,21,85.1,0.0
2018-07-24,33.2,19.2,82.1,0.0
2018-07-25,31.6,20.6,83.6,0.0
2018-07-26,34,18.6,82.8,0.0
2018-07-27,32,18.4,84.0,0.0
2018-07-28,32.8,17.8,79.7,0.0
2018-07-29,33.5,18.6,82.4,0.0
2018-07-30,29,22.2,85.8,0.0
2018-07-31,27.5,22.8,91.3,6.6
