AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/02/01,00:00,23.8,0.0,96,S/D,0.0
2026/02/01,01:00,23.6,0.0,97,S/D,0.0
2026/02/01,02:00,23.4,0.0,97,S/D,0.0
2026/02/01,03:00,23.1,0.0,98,S/D,0.0
2026/02/01,04:00,23.2,0.0,98,275,0.2
2026/02/01,05:00,23.3,0.0,98,S/D,0.0
2026/02/01,06:00,23.3,0.0,98,245,0.0
2026/02/01,07:00,23.5,0.0,98,295,0.2
2026/02/01,08:00,23.6,0.0,98,109,0.0
2026/02/01,09:00,24.4,0.0,96,48,0.2
2026/02/01,10:00,25.3,0.0,94,8,0.8
2026/02/01,11:00,26.7,0.0,89,19,1.2
2026/02/01,12:00,28.2,0.0,83,15,1.1
2026/02/01,13:00,28.9,0.0,78,32,2.2
2026/02/01,14:00,29.7,0.0,73,33,2.0
2026/02/01,15:00,30.1,0.0,67,34,2.8
2026/02/01,16:00,31.1,0.0,65,40,1.4
2026/02/01,17:00,30.4,0.0,69,15,1.3
2026/02/01,18:00,28.9,0.0,77,222,1.2
2026/02/01,19:00,24.9,0.0,88,342,2.1
2026/02/01,20:00,23.7,S/D,S/D,S/D,S/D
2026/02/01,21:00,23.7,0.0,95,157,0.1
2026/02/01,22:00,23.7,0.0,96,S/D,0.0
2026/02/01,23:00,23.7,0.0,97,S/D,0.0
2026/02/02,00:00,23.6,0.0,97,S/D,0.0
2026/02/02,01:00,23.6,0.0,97,S/D,0.0
2026/02/02,02:00,23.4,0.0,98,S/D,0.0
2026/02/02,03:00,23.4,0.0,98,218,0.2
2026/02/02,04:00,23.3,0.0,98,169,0.2
2026/02/02,05:00,23.2,0.0,98,267,0.2
2026/02/02,06:00,23.2,0.0,98,S/D,0.0
2026/02/02,07:00,23.3,0.0,98,275,0.1
2026/02/02,08:00,23.7,0.0,98,S/D,0.0
2026/02/02,09:00,24.4,0.0,97,252,0.1
2026/02/02,10:00,24.6,0.0,96,312,0.6
2026/02/02,11:00,24.7,0.0,96,279,1.2
2026/02/02,12:00,24.6,0.0,94,266,1.8
2026/02/02,13:00,24.9,0.0,93,238,2.3
2026/02/02,14:00,25.6,0.0,90,224,2.1
2026/02/02,15:00,26.1,0.0,88,235,0.6
2026/02/02,16:00,25.6,0.0,88,93,2.6
2026/02/02,17:00,23.3,0.0,92,42,0.9
2026/02/02,18:00,23.2,0.0,94,7,0.2
2026/02/02,19:00,23.1,0.0,95,165,0.7
2026/02/02,20:00,23.0,0.0,96,297,0.3
2026/02/02,21:00,23.1,0.0,96,324,1.5
2026/02/02,22:00,22.8,0.0,96,319,0.3
2026/02/02,23:00,22.5,0.0,96,358,0.4
2026/02/03,00:00,22.3,0.0,97,355,0.0
2026/02/03,01:00,22.0,0.0,98,186,0.4
2026/02/03,02:00,21.7,0.0,98,185,0.6
2026/02/03,03:00,21.4,0.0,98,179,0.1
2026/02/03,04:00,21.2,0.0,98,82,0.0
2026/02/03,05:00,21.0,0.0,99,97,0.1
2026/02/03,06:00,21.1,0.0,99,S/D,0.0
2026/02/03,07:00,21.2,0.0,99,S/D,0.0
2026/02/03,08:00,21.9,0.0,98,173,0.2
2026/02/03,09:00,23.3,0.0,96,314,0.6
2026/02/03,10:00,24.9,0.0,92,316,0.7
2026/02/03,11:00,27.0,0.0,87,314,0.7
2026/02/03,12:00,28.7,0.0,80,22,1.2
2026/02/03,13:00,29.8,0.0,71,43,3.0
2026/02/03,14:00,29.9,0.0,70,38,3.0
2026/02/03,15:00,30.6,0.0,66,35,2.9
2026/02/03,16:00,30.8,0.0,65,53,2.3
2026/02/03,17:00,30.7,0.0,65,82,1.9
2026/02/03,18:00,29.9,0.0,71,105,1.4
2026/02/03,19:00,28.0,0.0,81,147,0.2
2026/02/03,20:00,26.4,0.0,90,123,0.2
2026/02/03,21:00,S/D,S/D,S/D,S/D,S/D
2026/02/03,22:00,25.0,0.0,94,S/D,0.0
2026/02/03,23:00,24.6,0.0,95,296,0.0
2026/02/04,00:00,24.0,0.0,96,S/D,0.0
2026/02/04,01:00,23.7,0.0,96,S/D,0.0
2026/02/04,02:00,23.5,0.0,97,331,0.0
2026/02/04,03:00,23.2,0.0,97,331,0.0
2026/02/04,04:00,22.9,0.0,97,S/D,0.0
2026/02/04,05:00,22.5,0.0,98,S/D,0.0
2026/02/04,06:00,22.4,0.0,98,252,0.1
2026/02/04,07:00,22.6,0.0,98,270,0.3
2026/02/04,08:00,23.7,0.0,98,288,0.1
2026/02/04,09:00,24.8,0.0,95,309,0.3
2026/02/04,10:00,26.5,0.0,91,342,0.5
2026/02/04,11:00,28.3,0.0,83,28,1.3
2026/02/04,12:00,29.9,0.0,69,38,3.3
2026/02/04,13:00,30.4,0.0,63,40,3.2
2026/02/04,14:00,30.7,0.0,60,38,3.0
2026/02/04,15:00,30.7,0.0,61,37,2.8
2026/02/04,16:00,30.8,0.0,62,31,1.7
2026/02/04,17:00,30.8,0.0,62,21,1.0
2026/02/04,18:00,29.8,0.0,69,315,0.7
2026/02/04,19:00,27.9,0.0,80,213,0.1
