AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/03/01,00:00,23.9,0.1,98,164,0.7
2025/03/01,01:00,24.0,0.0,98,137,0.0
2025/03/01,02:00,23.9,0.0,99,190,0.0
2025/03/01,03:00,23.7,0.0,98,S/D,0.0
2025/03/01,04:00,23.3,0.0,99,S/D,0.0
2025/03/01,05:00,23.1,0.0,99,215,0.1
2025/03/01,06:00,23.0,0.0,99,S/D,0.0
2025/03/01,07:00,23.0,0.1,99,55,0.1
2025/03/01,08:00,24.0,0.3,96,134,0.0
2025/03/01,09:00,26.3,0.0,87,70,0.1
2025/03/01,10:00,27.3,0.0,84,28,1.6
2025/03/01,11:00,27.9,0.0,79,37,2.5
2025/03/01,12:00,28.9,0.0,75,38,2.9
2025/03/01,13:00,29.6,0.0,75,358,1.4
2025/03/01,14:00,29.6,0.0,77,292,1.5
2025/03/01,15:00,28.1,0.0,83,286,1.9
2025/03/01,16:00,27.5,0.2,86,275,1.1
2025/03/01,17:00,27.5,0.0,87,288,0.5
2025/03/01,18:00,26.9,0.0,90,314,0.2
2025/03/01,19:00,26.2,0.5,93,86,0.3
2025/03/01,20:00,24.9,0.0,93,133,0.9
2025/03/01,21:00,24.3,0.0,95,139,1.2
2025/03/01,22:00,24.0,0.2,97,S/D,0.0
2025/03/01,23:00,23.9,0.6,98,251,0.3
2025/03/02,00:00,23.9,0.0,97,233,0.1
2025/03/02,01:00,23.8,0.0,98,230,0.1
2025/03/02,02:00,23.9,0.0,98,227,0.0
2025/03/02,03:00,23.8,0.0,98,222,0.0
2025/03/02,04:00,23.8,0.0,98,245,0.1
2025/03/02,05:00,23.9,0.0,97,278,0.2
2025/03/02,06:00,23.7,0.1,98,230,0.1
2025/03/02,07:00,23.8,0.0,98,247,0.0
2025/03/02,08:00,24.2,0.0,96,274,0.2
2025/03/02,09:00,24.4,0.0,95,315,0.4
2025/03/02,10:00,24.7,0.0,87,271,1.2
2025/03/02,11:00,25.9,0.0,82,287,1.2
2025/03/02,12:00,24.7,0.2,88,326,2.6
2025/03/02,13:00,22.7,3.2,94,298,1.9
2025/03/02,14:00,22.2,4.1,97,268,0.5
2025/03/02,15:00,23.5,0.0,93,S/D,0.0
2025/03/02,16:00,24.3,0.0,92,316,0.3
2025/03/02,17:00,24.8,0.0,90,273,0.7
2025/03/02,18:00,24.9,0.0,91,267,0.0
2025/03/02,19:00,24.1,0.0,95,208,0.1
2025/03/02,20:00,23.8,0.0,97,129,0.0
2025/03/02,21:00,23.7,0.0,98,S/D,0.0
2025/03/02,22:00,23.5,0.0,99,S/D,0.0
2025/03/02,23:00,23.4,0.0,99,195,0.0
2025/03/03,00:00,23.3,0.0,98,S/D,0.0
2025/03/03,01:00,23.3,0.0,99,S/D,0.0
2025/03/03,02:00,23.2,0.1,99,208,0.0
2025/03/03,03:00,23.2,0.0,99,S/D,0.0
2025/03/03,04:00,23.1,0.0,99,S/D,0.0
2025/03/03,05:00,23.0,0.0,99,227,0.0
2025/03/03,06:00,22.8,0.0,99,231,0.0
2025/03/03,07:00,22.9,0.0,99,S/D,0.0
2025/03/03,08:00,23.9,0.0,96,247,0.1
2025/03/03,09:00,25.8,0.0,89,272,0.5
2025/03/03,10:00,26.4,0.0,87,294,0.8
2025/03/03,11:00,26.6,0.0,87,286,1.0
2025/03/03,12:00,27.2,0.0,85,295,1.6
2025/03/03,13:00,27.0,1.8,84,333,3.1
2025/03/03,14:00,23.1,9.7,95,357,2.2
2025/03/03,15:00,22.9,0.5,96,24,0.2
2025/03/03,16:00,23.2,0.2,96,249,0.0
2025/03/03,17:00,23.2,0.0,97,157,0.0
2025/03/03,18:00,23.2,0.1,97,S/D,0.0
2025/03/03,19:00,23.1,0.0,99,S/D,0.0
2025/03/03,20:00,22.9,0.0,99,197,0.0
2025/03/03,21:00,22.8,0.0,99,S/D,0.0
2025/03/03,22:00,22.8,0.0,99,S/D,0.0
2025/03/03,23:00,22.8,0.0,99,S/D,0.0
2025/03/04,00:00,22.7,0.0,99,S/D,0.0
2025/03/04,01:00,22.7,0.0,99,S/D,0.0
2025/03/04,02:00,22.7,0.0,99,265,0.0
2025/03/04,03:00,22.4,0.0,99,S/D,0.0
2025/03/04,04:00,22.3,0.0,100,S/D,0.0
2025/03/04,05:00,22.4,0.0,100,314,0.0
2025/03/04,06:00,22.4,0.0,100,S/D,0.0
2025/03/04,07:00,22.6,0.0,100,S/D,0.0
2025/03/04,08:00,23.1,0.0,99,343,0.0
2025/03/04,09:00,24.7,0.0,93,349,0.1
2025/03/04,10:00,26.2,0.0,89,262,0.7
2025/03/04,11:00,27.8,0.0,83,278,0.4
2025/03/04,12:00,28.2,0.0,82,238,0.1
2025/03/04,13:00,29.1,0.0,78,161,1.4
2025/03/04,14:00,30.2,0.0,71,150,0.8
2025/03/04,15:00,30.9,0.0,68,14,0.3
2025/03/04,16:00,31.1,0.0,68,5,0.1
2025/03/04,17:00,30.9,0.0,69,108,0.2
2025/03/04,18:00,30.0,0.0,74,S/D,0.0
2025/03/04,19:00,27.6,0.0,89,S/D,0.0
2025/03/04,20:00,26.5,0.0,95,358,0.0
2025/03/04,21:00,26.0,0.0,97,347,0.1
2025/03/04,22:00,26.3,0.0,92,6,0.3
2025/03/04,23:00,25.7,0.0,91,32,0.3
