AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2023/12/01,00:00,S/D,S/D,S/D,S/D,S/D
2023/12/01,01:00,23.0,0.0,98,132,0.0
2023/12/01,02:00,23.0,0.0,98,134,0.2
2023/12/01,03:00,23.1,0.0,98,242,0.2
2023/12/01,04:00,23.4,0.5,99,214,0.4
2023/12/01,05:00,23.4,0.0,100,204,0.6
2023/12/01,06:00,23.5,0.0,100,194,0.5
2023/12/01,07:00,23.6,0.0,100,203,0.6
2023/12/01,08:00,23.9,0.0,99,189,0.4
2023/12/01,09:00,24.9,0.0,94,220,0.4
2023/12/01,10:00,25.9,0.2,90,307,1.0
2023/12/01,11:00,27.5,0.0,82,356,0.9
2023/12/01,12:00,28.4,0.0,78,44,2.4
2023/12/01,13:00,28.8,0.0,77,353,0.6
2023/12/01,14:00,29.9,0.0,72,19,1.3
2023/12/01,15:00,29.8,0.2,71,51,2.0
2023/12/01,16:00,27.6,0.0,84,223,0.3
2023/12/01,17:00,26.1,0.0,83,271,1.7
2023/12/01,18:00,24.8,0.0,87,217,0.5
2023/12/01,19:00,24.1,0.0,93,266,0.4
2023/12/01,20:00,23.9,0.0,94,265,0.7
2023/12/01,21:00,23.5,0.0,94,247,0.5
2023/12/01,22:00,23.2,0.0,97,160,0.3
2023/12/01,23:00,22.9,0.0,98,235,0.3
2023/12/02,00:00,22.8,0.0,99,226,0.4
2023/12/02,01:00,22.5,0.0,99,213,0.3
2023/12/02,02:00,22.3,0.0,98,230,0.2
2023/12/02,03:00,22.4,0.0,98,234,0.3
2023/12/02,04:00,22.3,0.0,99,186,0.3
2023/12/02,05:00,22.4,0.0,98,269,0.2
2023/12/02,06:00,22.6,0.0,98,260,0.2
2023/12/02,07:00,22.7,8.1,98,14,1.1
2023/12/02,08:00,23.0,0.7,97,231,0.3
2023/12/02,09:00,23.6,5.5,96,270,0.6
2023/12/02,10:00,23.5,0.0,97,262,0.3
2023/12/02,11:00,24.8,0.0,91,312,0.5
2023/12/02,12:00,26.7,0.0,84,336,0.8
2023/12/02,13:00,28.6,0.0,79,338,1.1
2023/12/02,14:00,25.0,18.0,94,303,1.7
2023/12/02,15:00,25.0,0.0,98,346,0.2
2023/12/02,16:00,26.0,0.0,94,334,1.1
2023/12/02,17:00,27.1,0.0,83,290,0.8
2023/12/02,18:00,26.4,0.0,86,295,1.3
2023/12/02,19:00,25.1,0.0,93,274,0.6
2023/12/02,22:00,23.7,0.0,98,61,0.2
