AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2026/04/01,00:00,23.9,0.0,95,S/D,0.0
2026/04/01,01:00,23.5,0.0,96,S/D,0.0
2026/04/01,02:00,23.4,0.0,97,127,0.0
2026/04/01,03:00,23.0,0.0,98,111,0.1
2026/04/01,04:00,22.7,0.0,98,S/D,0.0
2026/04/01,05:00,22.7,0.0,98,S/D,0.0
2026/04/01,06:00,23.1,0.0,98,S/D,0.0
2026/04/01,07:00,23.1,0.0,98,197,0.8
2026/04/01,08:00,24.6,0.0,96,139,0.9
2026/04/01,09:00,26.3,0.0,90,36,2.0
2026/04/01,10:00,27.6,0.0,84,40,2.7
2026/04/01,11:00,29.2,0.0,79,35,1.4
2026/04/01,12:00,30.3,0.0,73,24,1.4
2026/04/01,13:00,31.3,0.0,67,343,1.3
2026/04/01,14:00,32.0,0.0,63,34,1.5
2026/04/01,15:00,32.7,0.0,58,348,0.8
2026/04/01,16:00,32.9,0.0,56,14,0.9
2026/04/01,17:00,32.6,0.0,56,34,1.5
2026/04/01,18:00,31.5,0.0,62,69,0.4
2026/04/01,19:00,28.8,0.0,79,176,0.2
2026/04/01,20:00,S/D,S/D,S/D,S/D,S/D
2026/04/01,22:00,26.0,0.0,93,153,0.1
2026/04/01,23:00,25.4,0.0,94,87,0.0
2026/04/02,00:00,25.1,0.0,95,132,0.2
2026/04/02,01:00,24.7,0.0,96,197,0.1
2026/04/02,02:00,24.3,0.0,96,115,0.1
2026/04/02,03:00,24.4,0.0,96,68,1.0
2026/04/02,04:00,24.4,0.0,95,76,0.3
2026/04/02,05:00,23.9,0.0,96,130,0.1
2026/04/02,06:00,23.9,0.0,96,69,1.6
2026/04/02,07:00,24.5,0.0,94,39,0.9
2026/04/02,08:00,25.5,0.0,91,339,0.5
2026/04/02,09:00,26.8,0.0,85,31,1.4
2026/04/02,10:00,28.3,0.0,79,19,1.4
2026/04/02,11:00,25.5,0.0,83,226,2.9
2026/04/02,12:00,21.0,0.0,97,210,1.1
2026/04/02,13:00,21.4,0.0,97,86,0.2
2026/04/02,14:00,21.8,0.0,97,184,0.3
2026/04/02,15:00,23.0,0.0,94,271,1.0
2026/04/02,16:00,24.5,0.0,88,320,1.5
2026/04/02,17:00,25.7,0.0,83,246,1.1
2026/04/02,18:00,25.0,0.0,86,241,1.3
2026/04/02,19:00,23.7,0.0,89,201,2.7
2026/04/02,20:00,23.1,0.0,92,183,1.0
2026/04/02,21:00,22.6,0.0,94,159,0.6
2026/04/02,22:00,22.2,0.0,95,159,0.6
2026/04/02,23:00,21.9,0.0,96,94,0.1
2026/04/03,00:00,21.7,0.0,96,198,0.0
2026/04/03,01:00,21.6,0.0,97,208,0.7
2026/04/03,02:00,21.3,0.0,97,170,0.0
2026/04/03,03:00,21.2,0.0,98,160,0.2
2026/04/03,04:00,21.3,0.0,98,55,0.6
2026/04/03,05:00,21.6,0.0,98,292,0.0
2026/04/03,06:00,21.6,0.0,98,36,0.2
2026/04/03,07:00,21.8,0.0,98,9,0.5
2026/04/03,08:00,22.5,0.0,97,54,0.5
2026/04/03,09:00,24.1,0.0,93,323,0.8
2026/04/03,10:00,26.1,0.0,87,289,1.4
2026/04/03,11:00,27.8,0.0,81,269,2.3
2026/04/03,12:00,28.5,0.0,77,281,1.9
2026/04/03,13:00,29.6,0.0,71,317,0.9
2026/04/03,14:00,30.7,0.0,63,346,0.8
2026/04/03,15:00,31.3,0.0,59,28,1.7
2026/04/03,16:00,31.0,0.0,60,33,1.7
2026/04/03,17:00,31.2,0.0,60,33,0.9
2026/04/03,18:00,30.3,0.0,64,42,0.8
2026/04/03,19:00,27.9,0.0,79,218,0.1
2026/04/03,20:00,26.2,0.0,87,S/D,0.0
2026/04/03,21:00,25.7,0.0,90,S/D,0.0
2026/04/03,22:00,25.1,0.0,93,S/D,0.0
