AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2025/08/01,00:00,23.0,0.0,95,S/D,0.0
2025/08/01,01:00,22.9,0.0,96,257,0.2
2025/08/01,02:00,22.8,0.0,97,261,0.5
2025/08/01,03:00,22.7,0.0,97,243,0.3
2025/08/01,04:00,22.3,0.0,97,S/D,0.0
2025/08/01,05:00,21.8,0.0,97,S/D,0.0
2025/08/01,06:00,21.9,0.0,98,S/D,0.0
2025/08/01,07:00,22.2,0.0,98,215,0.0
2025/08/01,08:00,22.7,0.0,98,76,0.5
2025/08/01,09:00,23.0,6.0,97,29,1.6
2025/08/01,10:00,23.0,5.7,98,339,0.5
2025/08/01,11:00,24.0,0.0,96,329,1.1
2025/08/01,12:00,25.4,0.0,91,295,1.5
2025/08/01,13:00,26.6,0.0,84,289,1.9
2025/08/01,14:00,27.9,0.0,76,279,1.9
2025/08/01,15:00,28.5,0.0,74,226,2.9
2025/08/01,16:00,29.1,0.0,69,267,1.0
2025/08/01,17:00,28.5,0.0,71,314,0.4
2025/08/01,18:00,27.9,0.0,74,147,0.0
2025/08/01,19:00,26.5,0.1,85,84,0.5
2025/08/01,20:00,25.5,0.0,91,99,0.8
2025/08/01,21:00,25.0,0.0,93,147,1.1
2025/08/01,22:00,24.7,0.0,93,77,0.2
2025/08/01,23:00,24.5,0.0,94,49,1.2
2025/08/02,00:00,24.2,0.0,95,11,0.9
2025/08/02,01:00,23.9,0.1,95,6,0.2
2025/08/02,02:00,23.5,0.0,95,148,2.3
2025/08/02,03:00,23.0,0.0,93,179,2.0
2025/08/02,04:00,22.7,0.0,94,195,0.4
2025/08/02,05:00,22.5,0.0,95,302,0.4
2025/08/02,06:00,22.5,0.0,95,299,0.7
2025/08/02,07:00,22.5,0.0,96,264,0.5
2025/08/02,08:00,23.0,0.0,95,S/D,0.0
2025/08/02,09:00,23.9,0.0,93,283,0.3
2025/08/02,10:00,25.5,0.0,87,245,0.7
2025/08/02,11:00,27.1,0.0,80,171,1.9
2025/08/02,12:00,28.1,0.0,76,204,2.0
2025/08/02,13:00,27.8,2.8,75,224,1.6
2025/08/02,14:00,25.8,0.4,84,10,0.7
2025/08/02,15:00,26.9,0.0,81,237,0.9
2025/08/02,16:00,26.0,0.5,83,181,2.3
2025/08/02,17:00,26.1,0.0,84,193,0.4
2025/08/02,18:00,25.7,0.0,87,124,0.9
2025/08/02,19:00,24.1,1.3,91,145,2.6
2025/08/02,20:00,23.2,3.5,94,184,0.7
2025/08/02,21:00,23.1,0.4,95,283,0.5
2025/08/02,22:00,23.1,0.1,96,288,0.2
2025/08/02,23:00,23.0,0.0,96,290,1.0
2025/08/03,00:00,22.8,0.0,96,271,1.3
2025/08/03,01:00,22.8,0.5,97,271,0.8
2025/08/03,02:00,22.7,0.9,97,258,0.8
2025/08/03,03:00,22.7,0.0,97,260,1.2
2025/08/03,04:00,22.7,0.0,97,273,0.9
2025/08/03,05:00,22.7,0.0,97,287,1.3
2025/08/03,06:00,22.6,0.0,97,292,1.3
2025/08/03,07:00,22.6,0.7,96,298,1.2
2025/08/03,08:00,22.5,2.8,97,298,1.0
2025/08/03,09:00,22.6,1.7,97,302,0.9
2025/08/03,10:00,23.1,0.4,96,288,1.2
2025/08/03,11:00,23.4,0.0,95,302,1.9
2025/08/03,12:00,23.8,0.0,93,291,1.5
2025/08/03,13:00,24.0,0.1,92,305,1.5
2025/08/03,14:00,24.1,0.0,92,274,1.8
2025/08/03,15:00,24.2,0.0,92,236,1.8
2025/08/03,16:00,24.9,0.0,88,269,1.9
2025/08/03,17:00,24.7,0.0,88,275,1.8
2025/08/03,18:00,24.6,0.0,88,272,1.0
2025/08/03,19:00,23.7,0.0,92,264,0.5
2025/08/03,20:00,23.5,0.0,93,311,0.4
2025/08/03,21:00,23.4,0.0,94,319,1.3
2025/08/03,22:00,23.3,0.0,95,300,0.1
2025/08/03,23:00,23.2,0.2,95,332,0.6
2025/08/04,00:00,22.7,0.0,96,334,2.4
2025/08/04,01:00,22.5,0.2,96,315,1.9
2025/08/04,02:00,22.2,0.1,96,330,1.4
2025/08/04,03:00,22.1,0.0,96,335,0.8
2025/08/04,04:00,21.9,0.0,97,331,1.3
2025/08/04,05:00,21.8,0.0,97,324,1.2
2025/08/04,06:00,21.8,0.0,96,322,0.4
2025/08/04,07:00,21.8,1.1,96,289,0.5
2025/08/04,08:00,22.0,0.5,96,312,1.5
2025/08/04,09:00,22.8,0.0,94,286,1.1
2025/08/04,10:00,24.0,0.0,90,269,1.3
2025/08/04,11:00,25.6,0.0,84,291,1.6
2025/08/04,12:00,26.8,0.0,78,271,2.0
2025/08/04,13:00,27.8,0.0,72,295,0.9
2025/08/04,14:00,28.6,0.0,69,295,0.8
2025/08/04,15:00,29.1,0.0,65,270,1.6
2025/08/04,16:00,29.4,0.0,64,287,1.4
2025/08/04,17:00,28.8,0.0,66,300,1.2
2025/08/04,18:00,27.5,0.0,74,267,0.7
2025/08/04,19:00,25.7,0.0,85,171,0.1
2025/08/04,20:00,24.4,0.0,91,205,0.0
2025/08/04,21:00,23.8,0.0,93,216,0.1
2025/08/04,22:00,23.3,0.0,95,S/D,0.0
2025/08/04,23:00,22.8,0.0,96,S/D,0.0
2025/08/05,00:00,22.5,0.0,96,S/D,0.0
2025/08/05,01:00,22.3,0.0,96,S/D,0.0
2025/08/05,02:00,22.1,0.0,97,S/D,0.0
2025/08/05,03:00,21.7,0.0,97,191,0.0
2025/08/05,04:00,21.3,0.0,97,199,0.0
2025/08/05,05:00,21.4,0.0,98,359,0.0
2025/08/05,06:00,21.7,0.0,98,340,0.0
2025/08/05,07:00,21.7,0.0,98,S/D,0.0
2025/08/05,08:00,22.4,0.0,98,287,0.1
2025/08/05,09:00,23.2,0.0,97,318,0.3
2025/08/05,10:00,25.1,0.0,91,320,1.3
2025/08/05,11:00,27.1,0.0,84,279,0.8
2025/08/05,12:00,29.0,0.0,75,293,1.1
2025/08/05,13:00,30.2,0.0,66,307,1.2
2025/08/05,14:00,31.0,0.0,60,302,1.2
2025/08/05,15:00,31.0,0.0,59,279,1.2
2025/08/05,16:00,31.4,0.0,58,285,1.3
2025/08/05,17:00,31.2,0.0,58,271,0.6
2025/08/05,18:00,30.5,0.0,60,272,1.0
2025/08/05,19:00,27.7,0.4,78,S/D,0.0
2025/08/05,20:00,24.9,0.0,89,115,2.4
2025/08/05,21:00,24.0,0.0,92,70,0.1
2025/08/05,22:00,23.6,0.0,94,196,2.0
2025/08/05,23:00,23.4,0.0,95,195,2.7
2025/08/06,00:00,23.2,0.0,94,188,1.8
2025/08/06,01:00,22.9,0.0,95,204,1.8
2025/08/06,02:00,22.6,0.0,95,191,0.8
2025/08/06,03:00,22.4,0.0,96,184,1.7
2025/08/06,04:00,22.4,0.0,96,208,1.2
2025/08/06,05:00,22.7,0.0,96,221,1.4
2025/08/06,06:00,22.7,0.0,96,230,1.3
2025/08/06,07:00,22.6,0.0,96,219,1.4
2025/08/06,08:00,22.9,0.0,95,217,1.7
2025/08/06,09:00,23.6,0.0,92,211,3.1
2025/08/06,10:00,24.8,0.0,87,222,3.0
2025/08/06,11:00,26.4,0.0,80,228,3.5
2025/08/06,12:00,27.5,0.0,75,227,2.8
2025/08/06,13:00,27.9,0.0,73,235,2.3
2025/08/06,14:00,28.6,0.0,70,253,2.4
2025/08/06,15:00,28.4,0.0,71,257,1.9
2025/08/06,16:00,28.0,0.0,75,274,2.3
2025/08/06,17:00,28.2,0.3,75,251,1.3
2025/08/06,18:00,27.3,0.0,79,262,0.9
2025/08/06,19:00,26.2,0.0,79,266,0.8
2025/08/06,20:00,25.5,0.0,86,276,0.0
2025/08/06,21:00,24.8,0.3,91,94,0.6
2025/08/06,22:00,24.2,0.1,94,80,0.1
2025/08/06,23:00,23.8,0.3,95,36,0.2
2025/08/07,00:00,23.5,0.1,96,55,0.1
2025/08/07,01:00,23.3,0.1,97,151,0.0
2025/08/07,02:00,23.1,0.0,97,S/D,0.0
2025/08/07,03:00,23.0,0.0,97,S/D,0.0
2025/08/07,04:00,22.8,0.0,97,S/D,0.0
2025/08/07,05:00,22.1,0.0,98,S/D,0.0
2025/08/07,06:00,21.7,0.0,98,149,0.0
2025/08/07,07:00,21.8,0.0,99,S/D,0.0
2025/08/07,08:00,23.2,0.0,95,329,0.2
2025/08/07,09:00,24.4,0.1,90,328,0.1
2025/08/07,10:00,25.9,0.0,85,322,0.7
2025/08/07,11:00,27.2,0.0,77,306,1.2
2025/08/07,12:00,28.4,0.0,70,322,1.1
2025/08/07,13:00,29.8,0.0,62,287,0.9
2025/08/07,14:00,30.7,0.0,58,313,1.4
2025/08/07,15:00,31.3,0.0,57,341,0.8
2025/08/07,16:00,31.2,0.0,57,5,1.1
2025/08/07,17:00,31.4,0.0,56,9,1.0
2025/08/07,18:00,29.7,0.0,61,38,1.4
2025/08/07,19:00,27.5,0.0,71,49,0.3
2025/08/07,20:00,26.1,0.0,82,S/D,0.0
2025/08/07,21:00,25.0,0.0,88,S/D,0.0
2025/08/07,22:00,24.3,0.0,91,S/D,0.0
2025/08/07,23:00,23.7,0.0,93,S/D,0.0
2025/08/08,00:00,23.3,0.0,94,S/D,0.0
2025/08/08,01:00,22.9,0.0,95,S/D,0.0
2025/08/08,02:00,22.5,0.0,96,S/D,0.0
2025/08/08,03:00,22.1,0.0,96,S/D,0.0
2025/08/08,04:00,21.7,0.0,96,203,0.0
2025/08/08,05:00,21.4,0.0,97,200,0.0
2025/08/08,06:00,21.2,0.0,97,205,0.1
2025/08/08,07:00,21.7,0.0,97,77,0.0
2025/08/08,08:00,23.3,0.0,95,97,0.0
2025/08/08,09:00,26.0,0.0,88,29,0.5
2025/08/08,10:00,27.8,0.0,82,351,1.2
2025/08/08,11:00,29.0,0.0,77,320,0.7
2025/08/08,12:00,30.4,0.0,67,164,1.0
2025/08/08,13:00,29.2,0.0,71,236,1.7
2025/08/08,14:00,30.7,0.0,64,189,2.0
2025/08/08,15:00,29.8,0.0,69,61,1.2
2025/08/08,16:00,27.2,0.0,79,65,2.5
2025/08/08,17:00,26.2,0.0,83,104,0.7
2025/08/08,18:00,25.1,0.0,84,273,0.9
2025/08/08,19:00,24.6,0.0,87,66,0.2
2025/08/08,20:00,24.5,0.0,89,52,1.5
2025/08/08,21:00,24.0,0.0,91,68,1.5
2025/08/08,22:00,23.8,0.0,92,34,1.4
2025/08/08,23:00,23.6,0.0,92,42,1.3
2025/08/09,00:00,23.3,0.0,93,68,1.4
2025/08/09,01:00,23.1,0.0,94,92,0.1
2025/08/09,02:00,22.8,0.0,95,78,0.9
2025/08/09,03:00,22.8,0.0,95,44,0.6
2025/08/09,04:00,22.8,0.0,95,310,0.4
2025/08/09,05:00,22.7,0.0,96,319,0.6
