AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-06-01,,,,29.3
2022-06-02,,,,0.0
2022-06-03,,,,0.0
2022-06-04,,,,0.0
2022-06-05,,,,0.0
2022-06-06,,,,0.0
2022-06-07,,,,4.0
2022-06-08,,,,5.0
2022-06-09,,,,3.0
2022-06-10,,,,24.6
2022-06-11,,,,0.0
2022-06-12,,,,0.0
2022-06-13,,,,0.0
2022-06-14,,,,0.0
2022-06-15,,,,0.0
2022-06-16,,,,3.0
2022-06-17,,,,0.0
2022-06-18,,,,0.0
2022-06-19,,,,0.0
2022-06-20,,,,0.0
2022-06-21,,,,0.0
2022-06-22,,,,0.0
2022-06-23,,,,0.0
2022-06-24,,,,4.0
2022-06-25,,,,10.0
2022-06-26,,,,20.0
2022-06-27,,,,0.0
2022-06-28,,,,0.0
2022-06-29,,,,0.0
2022-06-30,,,,0.0
