AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2020-04-01,,,,0.0
2020-04-02,,,,0.0
2020-04-03,,,,0.0
2020-04-04,,,,18.0
2020-04-05,,,,4.0
2020-04-06,,,,0.0
2020-04-07,,,,0.0
2020-04-08,,,,0.0
2020-04-09,,,,4.0
2020-04-10,,,,8.0
2020-04-11,,,,0.4
2020-04-12,,,,0.0
2020-04-13,,,,0.0
2020-04-14,,,,0.0
2020-04-15,,,,8.0
2020-04-16,,,,0.0
2020-04-17,,,,0.0
2020-04-18,,,,0.0
2020-04-19,,,,0.0
2020-04-20,,,,0.0
2020-04-21,,,,0.0
2020-04-22,,,,3.0
2020-04-23,,,,0.0
2020-04-24,,,,0.0
2020-04-25,,,,8.0
2020-04-26,,,,66.0
2020-04-27,,,,0.0
2020-04-28,,,,8.5
2020-04-29,,,,0.0
2020-04-30,,,,0.0
