Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : ANGAMOS
,Departamento :,LORETO,Provincia :,REQUENA,Distrito :,YAQUERANA
,Latitud :,5°9'4.24'',Longitud :,72°52'30.79'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,240401
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-08-01,9.44,9.41,9.37,9.33
2020-08-02,9.25,9.22,9.20,9.16
2020-08-03,9.10,9.05,9.00,8.95
2020-08-04,8.90,8.86,8.83,8.80
2020-08-05,8.76,8.73,8.70,8.67
2020-08-06,8.64,8.61,8.56,8.50
2020-08-07,8.46,8.44,8.42,8.40
2020-08-08,8.37,8.35,8.33,8.30
2020-08-09,8.26,8.24,8.22,8.20
2020-08-10,8.17,8.15,8.13,8.10
2020-08-11,8.06,8.04,8.02,8.00
2020-08-12,7.96,7.94,7.92,7.90
2020-08-13,7.88,7.86,7.84,7.83
2020-08-14,7.82,7.82,7.82,7.82
2020-08-15,7.82,7.81,7.80,7.79
2020-08-16,7.78,7.77,7.76,7.75
2020-08-17,7.74,7.73,7.72,7.71
2020-08-18,7.70,7.70,7.70,7.70
2020-08-19,7.70,7.68,7.66,7.64
2020-08-20,7.62,7.63,7.64,7.65
2020-08-21,7.66,7.68,7.70,7.72
2020-08-22,7.75,7.77,7.79,7.81
2020-08-23,7.84,7.86,7.88,7.90
2020-08-24,7.92,7.93,7.95,7.98
2020-08-25,8.00,7.97,7.95,7.93
2020-08-26,7.91,7.87,7.84,7.81
2020-08-27,7.78,7.75,7.72,7.68
2020-08-28,7.65,7.63,7.60,7.57
2020-08-29,7.54,7.51,7.48,7.45
2020-08-30,7.40,7.37,7.34,7.33
2020-08-31,7.30,7.28,7.26,7.24
