AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2020-07-01,6.32,6.33,6.33,6.33,6.33
2020-07-02,6.35,6.35,6.35,6.34,6.35
2020-07-03,6.33,6.32,6.31,6.31,6.32
2020-07-04,6.30,6.31,6.33,6.35,6.32
2020-07-05,6.36,6.38,6.40,6.41,6.39
2020-07-06,6.43,6.43,6.45,6.46,6.44
2020-07-07,6.48,6.48,6.49,6.50,6.49
2020-07-08,6.52,6.53,6.54,6.55,6.54
2020-07-09,6.55,6.56,6.57,6.59,6.57
2020-07-10,6.61,6.63,6.66,6.68,6.65
2020-07-11,6.70,6.72,6.73,6.75,6.73
2020-07-12,6.78,6.79,6.81,6.83,6.80
2020-07-13,6.86,6.88,6.92,6.95,6.90
2020-07-14,6.98,7.03,7.06,7.07,7.04
2020-07-15,7.10,7.12,7.16,7.18,7.14
2020-07-16,7.21,7.23,7.25,7.28,7.24
2020-07-17,7.29,7.31,7.33,7.33,7.32
2020-07-18,7.39,7.42,7.44,7.46,7.43
2020-07-19,7.48,7.50,7.52,7.53,7.51
2020-07-20,7.55,7.57,7.59,7.62,7.58
2020-07-21,7.64,7.65,7.68,7.71,7.67
2020-07-22,7.75,7.76,7.79,7.82,7.78
2020-07-23,7.84,7.85,7.86,7.87,7.86
2020-07-24,7.87,7.87,7.85,7.83,7.86
2020-07-25,7.81,7.80,7.78,7.75,7.79
2020-07-26,7.75,7.73,7.71,7.70,7.72
2020-07-27,7.69,7.77,7.65,7.63,7.69
2020-07-28,7.62,7.61,7.60,7.60,7.61
2020-07-29,7.60,7.58,7.56,7.55,7.57
2020-07-30,7.54,7.53,7.50,7.50,7.52
2020-07-31,7.48,7.47,7.45,7.42,7.46
