Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : BELLAVISTA
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,MAZAN
,Latitud :,3°28'42.94'',Longitud :,73°4'4.93'',Altitud :,91 msnm.
,Tipo :,HLM - Hidrológica,Código :,240111
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-08-01,8.02,8.02,8.03,8.03
2019-08-02,8.06,8.06,8.06,8.07
2019-08-03,8.08,8.08,8.08,8.08
2019-08-04,8.09,8.09,8.10,8.10
2019-08-05,8.11,8.10,8.09,8.09
2019-08-06,8.06,8.06,8.06,8.06
2019-08-07,8.06,8.05,8.04,8.02
2019-08-08,7.95,7.92,7.90,7.88
2019-08-09,7.81,7.80,7.79,7.77
2019-08-10,7.74,7.74,7.73,7.73
2019-08-11,7.70,7.70,7.70,7.70
2019-08-12,7.69,7.68,7.67,7.63
2019-08-13,7.65,7.64,7.62,7.60
2019-08-14,7.51,7.48,7.45,7.39
2019-08-15,7.21,7.18,7.13,7.07
2019-08-16,6.82,6.80,6.77,6.75
2019-08-17,6.68,6.65,6.61,6.52
2019-08-18,6.39,6.35,6.31,6.25
2019-08-19,6.09,6.09,6.09,6.09
2019-08-20,6.10,6.10,6.09,6.09
2019-08-21,6.05,6.02,6.01,6.00
2019-08-22,5.91,5.89,5.86,5.81
2019-08-23,5.75,5.72,5.69,5.64
2019-08-24,5.53,5.50,5.48,5.44
2019-08-25,5.36,5.36,5.36,5.36
2019-08-26,5.39,5.40,5.40,5.41
2019-08-27,5.45,5.45,5.46,5.47
2019-08-28,5.50,5.50,5.50,5.50
2019-08-29,5.49,5.47,5.46,5.44
2019-08-30,5.37,5.37,5.36,5.36
2019-08-31,5.34,5.33,5.31,5.29
