Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : NAUTA
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
,Latitud :,4°30'52.54'',Longitud :,73°34'58.99'',Altitud :,92 msnm.
,Tipo :,HLM - Hidrológica,Código :,221402
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-12-01,4.21,4.24,4.27,4.31
2024-12-02,4.44,4.45,4.46,4.48
2024-12-03,4.56,4.57,4.58,4.59
2024-12-04,4.62,4.65,4.68,4.72
2024-12-05,4.89,4.89,4.89,4.89
2024-12-06,4.89,4.89,4.89,4.89
2024-12-07,4.89,4.89,4.88,4.85
2024-12-08,4.78,4.77,4.75,4.74
2024-12-09,4.74,4.74,4.74,4.73
2024-12-10,4.72,4.74,4.75,4.77
2024-12-11,4.89,4.92,4.95,4.99
2024-12-12,5.09,5.11,5.13,5.15
2024-12-13,5.23,5.24,5.25,5.27
2024-12-14,5.33,5.34,5.35,5.36
2024-12-15,5.41,5.41,5.41,5.42
2024-12-16,5.44,5.45,5.46,5.47
2024-12-17,5.51,5.51,5.51,5.51
2024-12-18,5.51,5.55,5.59,5.64
2024-12-19,5.75,5.77,5.79,5.82
2024-12-20,5.91,5.93,5.95,5.98
2024-12-21,6.07,6.10,6.13,6.17
2024-12-22,6.29,6.34,6.38,6.43
2024-12-23,6.62,6.66,6.70,6.74
2024-12-24,6.86,6.90,6.94,6.98
2024-12-25,7.11,7.15,7.19,7.25
2024-12-26,7.40,7.45,7.45,7.46
2024-12-27,7.49,7.49,7.49,7.51
2024-12-28,7.53,7.53,7.53,7.56
2024-12-29,7.56,7.56,7.56,7.56
2024-12-30,7.56,7.56,7.56,7.56
2024-12-31,7.56,7.56,7.56,7.57
