Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : TIMICURILLO
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,INDIANA
,Latitud :,3°31'25.38'',Longitud :,73°5'.39'',Altitud :,85 msnm.
,Tipo :,HLM - Hidrológica,Código :,240202
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2019-02-01,10.35,10.36,10.37,10.38
2019-02-02,10.40,10.41,10.42,10.43
2019-02-03,10.45,10.47,10.48,10.50
2019-02-04,10.55,10.55,10.56,10.56
2019-02-05,10.56,10.56,10.56,10.56
2019-02-06,10.56,10.56,10.55,10.55
2019-02-07,10.54,10.54,10.54,10.54
2019-02-08,10.54,10.57,10.59,10.61
2019-02-09,10.70,10.71,10.73,10.75
2019-02-10,10.78,10.79,10.80,10.81
2019-02-11,10.84,10.86,10.87,10.88
2019-02-12,10.95,10.96,10.97,10.98
2019-02-13,10.99,11.01,11.02,11.03
2019-02-14,11.05,11.06,11.08,11.10
2019-02-15,11.15,11.16,11.17,11.18
2019-02-16,11.20,11.21,11.22,11.23
2019-02-17,11.25,11.26,11.27,11.28
2019-02-18,11.30,11.30,11.30,11.29
2019-02-19,11.28,11.28,11.29,11.32
2019-02-20,11.31,11.31,11.32,11.34
2019-02-21,11.33,11.33,11.34,11.35
2019-02-22,11.34,11.34,11.35,11.36
2019-02-23,11.36,11.36,11.36,11.36
2019-02-24,11.36,11.36,11.36,11.36
2019-02-25,11.36,11.36,11.36,11.36
2019-02-26,11.36,11.36,11.36,11.36
2019-02-27,11.36,11.37,11.37,11.38
2019-02-28,11.39,11.39,11.40,11.40
