Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SANTA ROSA
,Departamento :,LORETO,Provincia :,MARISCAL RAMON CASTILLA,Distrito :,YAVARI
,Latitud :,4°13'27.05'',Longitud :,69°57'12.6'',Altitud :,63 msnm.
,Tipo :,HLM - Hidrológica,Código :,240108
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2020-04-01,8.23,8.24,8.25,8.26
2020-04-02,8.28,8.29,8.30,8.31
2020-04-03,8.33,8.34,8.35,8.35
2020-04-04,8.36,8.38,8.40,8.41
2020-04-05,8.46,8.47,8.48,8.50
2020-04-06,8.54,8.55,8.56,8.57
2020-04-07,8.60,8.61,8.62,8.64
2020-04-08,8.68,8.70,8.72,8.74
2020-04-09,8.80,8.81,8.82,8.84
2020-04-10,8.88,8.89,8.90,8.91
2020-04-11,8.94,8.95,8.96,8.97
2020-04-12,8.99,9.03,9.04,9.05
2020-04-13,9.09,9.10,9.11,9.13
2020-04-14,9.17,9.18,9.19,9.20
2020-04-15,9.23,9.23,9.24,9.25
2020-04-16,9.27,9.28,9.29,9.30
2020-04-17,9.33,9.34,9.35,9.36
2020-04-18,9.38,9.39,9.40,9.41
2020-04-19,9.43,9.44,9.45,9.66
2020-04-20,9.49,9.50,9.51,9.52
2020-04-21,9.55,9.56,9.57,9.58
2020-04-22,9.60,9.61,9.62,9.64
2020-04-23,9.68,9.68,9.68,9.68
2020-04-24,9.69,9.69,9.69,9.69
2020-04-25,9.69,9.70,9.71,9.72
2020-04-26,9.75,9.75,9.75,9.75
2020-04-27,9.77,9.77,9.77,9.77
2020-04-28,9.77,9.77,9.78,9.78
2020-04-29,9.78,9.78,9.78,9.78
2020-04-30,9.78,9.78,9.78,9.78
