AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2024-02-07,S/D,23.6,S/D,S/D
2024-02-08,S/D,25,S/D,S/D
2024-02-09,33.2,24.8,94.6,2.2
2024-02-10,33,23.8,90.1,160.2
2024-02-11,S/D,23,S/D,S/D
2024-02-12,S/D,23.8,S/D,S/D
2024-02-13,32,23.6,88.0,66.4
2024-02-14,S/D,24,S/D,S/D
2024-02-26,S/D,24.2,S/D,S/D
2024-03-01,30.6,23.8,96.4,5.6
