Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : MAGUNCHAL
,Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
,Latitud :,5°53'23.31'',Longitud :,78°11'19.1'',Altitud :,632 msnm.
,Tipo :,HLG - Hidrológica,Código :,221506
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-03-01,1.57,1.60,1.89,1.73
2024-03-02,1.48,1.41,1.34,1.30
2024-03-03,1.44,1.34,1.24,1.23
2024-03-04,1.40,1.40,1.41,1.51
2024-03-05,1.45,1.39,1.37,1.32
2024-03-06,1.37,1.24,1.22,1.22
2024-03-07,1.25,1.23,1.22,1.21
2024-03-08,1.21,1.21,1.20,1.20
2024-03-09,1.30,1.27,1.23,1.21
2024-03-10,1.20,1.20,1.20,1.23
2024-03-11,1.35,1.31,1.30,1.36
2024-03-12,1.34,1.30,1.27,1.23
2024-03-13,1.21,1.20,1.20,1.20
2024-03-14,1.19,1.19,1.19,1.18
2024-03-15,1.17,1.17,1.17,1.16
2024-03-16,1.20,1.19,1.17,1.16
2024-03-17,1.14,1.13,1.12,1.12
2024-03-18,1.11,1.11,1.11,1.11
2024-03-19,1.11,1.11,1.11,1.11
2024-03-20,1.17,1.15,1.13,1.11
2024-03-21,1.10,1.10,1.10,1.10
2024-03-22,1.35,1.72,1.50,1.40
2024-03-23,1.35,1.31,1.27,1.24
2024-03-24,1.20,1.19,1.18,1.17
2024-03-25,1.14,1.13,1.12,1.12
2024-03-26,1.09,1.08,1.07,1.07
2024-03-27,1.07,1.06,1.06,1.05
2024-03-28,1.05,1.05,1.05,1.05
2024-03-29,1.04,1.04,1.03,1.03
2024-03-30,1.26,1.23,1.18,1.13
2024-03-31,1.07,1.05,1.04,1.04
