Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SAN REGIS
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
,Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2022-02-01,8.94,8.94,8.93,8.92
2022-02-02,8.82,8.78,8.75,8.71
2022-02-03,8.59,8.52,8.47,8.46
2022-02-04,8.33,8.25,8.23,8.21
2022-02-05,8.11,8.09,8.04,8.02
2022-02-06,7.92,7.89,7.87,7.85
2022-02-07,7.78,7.76,7.75,7.74
2022-02-08,7.81,7.85,7.87,7.90
2022-02-09,7.96,7.99,8.03,8.06
2022-02-10,8.17,8.23,8.28,8.33
2022-02-11,8.50,8.56,8.61,8.66
2022-02-12,8.80,8.83,8.85,8.89
2022-02-13,8.98,9.02,9.04,9.05
2022-02-14,9.12,9.14,9.17,9.18
2022-02-15,9.26,9.29,9.31,9.33
2022-02-16,9.42,9.43,9.46,9.48
2022-02-17,9.57,9.60,9.62,9.63
2022-02-18,9.70,9.72,9.75,9.77
2022-02-19,9.82,9.84,9.85,9.86
2022-02-20,9.88,9.88,9.88,9.88
2022-02-21,9.85,9.84,9.83,9.82
2022-02-22,9.77,9.75,9.73,9.72
2022-02-23,9.67,9.66,9.64,9.62
2022-02-24,9.56,9.55,9.53,9.52
2022-02-25,9.48,9.47,9.46,9.46
2022-02-26,9.45,9.45,9.45,9.44
2022-02-27,9.43,9.42,9.42,9.41
2022-02-28,9.39,9.38,9.37,9.37
