Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : SAN REGIS
,Departamento :,LORETO,Provincia :,LORETO,Distrito :,NAUTA
,Latitud :,4°30'47.59'',Longitud :,73°54'27.34'',Altitud :,96 msnm.
,Tipo :,HLM - Hidrológica,Código :,220105
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2024-08-01,5.09,5.05,5.01,4.96
2024-08-02,4.88,4.85,4.81,4.79
2024-08-03,4.72,4.69,4.67,4.66
2024-08-04,4.60,4.58,4.56,4.54
2024-08-05,4.50,4.48,4.46,4.45
2024-08-06,4.40,4.38,4.36,4.34
2024-08-07,4.27,4.25,4.23,4.20
2024-08-08,4.14,4.12,4.10,4.08
2024-08-09,4.02,4.01,3.99,3.98
2024-08-10,3.98,4.01,4.04,4.07
2024-08-11,4.10,4.16,4.23,4.30
2024-08-12,4.33,4.34,4.35,4.36
2024-08-13,4.37,4.38,4.38,4.39
2024-08-14,4.40,4.40,4.41,4.41
2024-08-15,4.42,4.42,4.42,4.43
2024-08-16,4.43,4.43,4.43,4.43
2024-08-17,4.39,4.38,4.37,4.36
2024-08-18,4.33,4.32,4.31,4.30
2024-08-19,4.26,4.24,4.22,4.20
2024-08-20,4.16,4.14,4.12,4.10
2024-08-21,4.02,3.99,3.96,3.94
2024-08-22,3.87,3.84,3.80,3.79
2024-08-23,3.72,3.69,3.67,3.64
2024-08-24,3.59,3.57,3.55,3.54
2024-08-25,3.49,3.48,3.47,3.47
2024-08-26,3.45,3.45,3.45,3.43
2024-08-27,3.40,3.40,3.40,3.39
2024-08-28,3.38,3.38,3.37,3.37
2024-08-29,3.35,3.33,3.33,3.33
2024-08-30,3.33,3.34,3.35,3.36
2024-08-31,3.41,3.43,3.45,3.47
