Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : PUERTO ALMENDRA
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
,Latitud :,3°49'38.75'',Longitud :,73°22'38.68'',Altitud :,95 msnm.
,Tipo :,HLM - Hidrológica,Código :,240302
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2022-06-01,9.66,9.65,9.64,9.63
2022-06-02,9.62,9.61,9.60,9.59
2022-06-03,9.58,9.57,9.56,9.55
2022-06-04,9.52,9.51,9.49,9.47
2022-06-05,9.43,9.43,9.42,9.41
2022-06-06,9.39,9.38,9.37,9.37
2022-06-07,9.36,9.35,9.34,9.33
2022-06-08,9.31,9.30,9.29,9.28
2022-06-09,9.25,9.24,9.23,9.22
2022-06-10,9.19,9.19,9.19,9.18
2022-06-11,9.17,9.16,9.15,9.15
2022-06-12,9.14,9.14,9.13,9.12
2022-06-13,9.10,9.09,9.07,9.06
2022-06-14,9.01,9.00,8.98,8.97
2022-06-15,8.94,8.92,8.90,8.88
2022-06-16,8.86,8.84,8.83,8.81
2022-06-17,8.78,8.77,8.75,8.73
2022-06-18,8.67,8.66,8.64,8.62
2022-06-19,8.60,8.58,8.57,8.56
2022-06-20,8.54,8.50,8.46,8.42
2022-06-21,8.30,8.28,8.27,8.25
2022-06-22,8.10,8.07,8.04,8.00
2022-06-23,7.90,7.88,7.85,7.80
2022-06-24,7.70,7.66,7.62,7.57
2022-06-25,7.45,7.42,7.38,7.35
2022-06-26,7.24,7.21,7.17,7.12
2022-06-27,7.02,7.00,6.99,6.98
2022-06-28,6.89,6.87,6.86,6.84
2022-06-29,6.72,6.70,6.69,6.68
2022-06-30,6.62,6.60,6.58,6.56
