Fuente: SENAMHI / DRD
* Datos sin control de calidad.
* El uso de estos datos será de entera responsabilidad del usuario.

Leyenda:
* S/D = Sin Datos.
* T = Trazas (Precipitación < 0.1 mm/día).

,Estación : PUERTO ALMENDRA
,Departamento :,LORETO,Provincia :,MAYNAS,Distrito :,SAN JUAN BAUTISTA
,Latitud :,3°49'38.75'',Longitud :,73°22'38.68'',Altitud :,95 msnm.
,Tipo :,HLM - Hidrológica,Código :,240302
AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18
2025-02-01,5.05,5.07,5.09,5.12
2025-02-02,5.20,5.22,5.24,5.26
2025-02-03,5.30,5.31,5.31,5.32
2025-02-04,5.34,5.34,5.33,5.33
2025-02-05,5.34,5.35,5.39,5.44
2025-02-06,5.53,5.54,5.56,5.57
2025-02-07,5.65,5.66,5.68,5.70
2025-02-08,5.90,5.91,5.92,5.94
2025-02-09,5.97,5.99,6.01,6.04
2025-02-10,6.08,6.08,6.09,6.10
2025-02-11,6.15,6.16,6.18,6.20
2025-02-12,6.25,6.26,6.27,6.28
2025-02-13,6.33,6.35,6.37,6.40
2025-02-14,6.44,6.44,6.45,6.46
2025-02-15,6.49,6.49,6.50,6.50
2025-02-16,6.52,6.52,6.52,6.52
2025-02-17,6.53,6.53,6.51,6.50
2025-02-18,6.48,6.46,6.44,6.43
2025-02-19,6.42,6.38,6.34,6.30
2025-02-20,6.25,6.24,6.23,6.21
2025-02-21,6.20,6.20,6.21,6.22
2025-02-22,6.30,6.34,6.39,6.45
2025-02-23,6.53,6.55,6.57,6.60
2025-02-24,6.73,6.76,6.80,6.84
2025-02-25,6.90,6.92,6.95,6.98
2025-02-26,7.01,7.04,7.07,7.10
2025-02-27,7.21,7.24,7.27,7.30
2025-02-28,7.40,7.42,7.44,7.46
