AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-09-01,,,,0.0
2022-09-02,,,,0.0
2022-09-03,,,,0.0
2022-09-04,,,,0.0
2022-09-05,,,,0.0
2022-09-06,,,,0.0
2022-09-07,,,,0.0
2022-09-08,,,,0.0
2022-09-09,,,,0.0
2022-09-10,,,,0.0
2022-09-11,,,,0.0
2022-09-12,,,,0.0
2022-09-13,,,,0.0
2022-09-14,,,,0.0
2022-09-15,,,,0.0
2022-09-16,,,,0.2
2022-09-17,,,,0.0
2022-09-18,,,,9.7
2022-09-19,,,,0.0
2022-09-20,,,,0.0
2022-09-21,,,,0.0
2022-09-22,,,,0.0
2022-09-23,,,,0.4
2022-09-24,,,,0.0
2022-09-25,,,,0.0
2022-09-26,,,,0.0
2022-09-27,,,,0.0
2022-09-28,,,,0.4
2022-09-29,,,,35.6
2022-09-30,,,,12.5
