AÑO / MES / DÍA,HORA,TEMPERATURA (°C),PRECIPITACIÓN (mm/hora),HUMEDAD (%),DIRECCION DEL VIENTO (°),VELOCIDAD DEL VIENTO (m/s)
2018/09/01,00:00,23.5,S/D,99,334,0.0
2018/09/01,01:00,23.0,S/D,99,294,0.0
2018/09/01,02:00,22.5,S/D,99,296,0.0
2018/09/01,03:00,22.1,S/D,99,293,0.0
2018/09/01,04:00,21.9,S/D,99,350,0.0
2018/09/01,05:00,21.7,S/D,99,302,0.0
2018/09/01,06:00,21.5,S/D,100,303,0.0
2018/09/01,07:00,21.3,S/D,100,306,0.0
2018/09/01,08:00,21.7,S/D,100,315,0.0
2018/09/01,09:00,23.1,S/D,99,91,0.0
2018/09/01,10:00,25.9,S/D,88,93,0.3
2018/09/01,11:00,28.1,S/D,78,121,0.4
2018/09/01,12:00,28.1,S/D,79,346,1.0
2018/09/01,13:00,30.9,S/D,69,150,0.6
2018/09/01,14:00,32.4,S/D,62,348,0.4
2018/09/01,15:00,32.8,S/D,59,270,0.2
2018/09/01,16:00,33.4,S/D,56,187,0.2
2018/09/01,17:00,32.6,S/D,55,335,0.3
2018/09/01,18:00,29.2,S/D,80,3,0.0
2018/09/01,19:00,27.4,S/D,92,315,0.4
2018/09/01,20:00,26.1,S/D,95,342,0.1
2018/09/01,21:00,25.1,S/D,97,311,0.0
2018/09/01,22:00,24.6,S/D,98,59,0.0
2018/09/01,23:00,24.1,S/D,99,347,0.0
2018/09/02,00:00,23.7,S/D,99,353,0.0
2018/09/02,01:00,23.2,S/D,99,1,0.0
2018/09/02,02:00,22.9,S/D,99,334,0.0
2018/09/02,03:00,22.6,S/D,99,334,0.0
2018/09/02,04:00,22.6,S/D,99,28,0.0
2018/09/02,05:00,22.3,S/D,99,321,0.3
2018/09/02,06:00,22.2,S/D,100,24,0.0
2018/09/02,07:00,22.2,S/D,100,353,0.0
2018/09/02,08:00,22.1,S/D,100,2,0.0
2018/09/02,09:00,23.8,S/D,98,146,0.0
2018/09/02,10:00,26.9,S/D,85,172,0.5
2018/09/02,11:00,29.1,S/D,75,113,0.6
2018/09/02,12:00,28.1,S/D,79,346,1.0
2018/09/02,13:00,32.2,S/D,63,82,0.6
2018/09/02,14:00,32.9,S/D,61,83,0.8
2018/09/02,15:00,32.5,S/D,64,347,0.0
2018/09/02,16:00,29.4,S/D,85,52,0.4
2018/09/02,17:00,26.3,S/D,93,6,0.5
2018/09/02,18:00,25.5,S/D,97,251,0.0
2018/09/02,19:00,25.4,S/D,98,137,0.1
2018/09/02,20:00,24.5,S/D,99,275,0.0
2018/09/02,21:00,24.0,S/D,99,5,0.1
2018/09/02,22:00,23.7,S/D,99,347,0.0
2018/09/02,23:00,23.6,S/D,99,322,0.0
2018/09/03,00:00,23.6,S/D,100,330,0.0
2018/09/03,01:00,23.4,S/D,100,310,0.2
2018/09/03,02:00,23.3,S/D,100,135,0.0
2018/09/03,03:00,23.3,S/D,100,270,0.2
2018/09/03,04:00,23.0,S/D,100,89,0.0
2018/09/03,05:00,22.7,S/D,100,176,0.0
2018/09/03,06:00,22.8,S/D,100,155,0.2
2018/09/03,07:00,22.7,S/D,100,135,0.0
2018/09/03,08:00,22.5,S/D,99,132,0.9
2018/09/03,09:00,22.2,S/D,99,220,0.0
2018/09/03,10:00,21.7,S/D,100,350,0.1
2018/09/03,11:00,21.7,S/D,100,309,0.2
