AÑO / MES / DÍA,NIVEL DEL RIO (m)
06,10,14,18,PROMEDIO
2025-09-01,0.80,0.80,0.80,0.80,0.80
2025-09-02,0.80,0.80,0.80,0.80,0.80
2025-09-03,0.80,0.80,0.80,0.80,0.80
2025-09-04,0.80,0.80,0.80,0.79,0.80
2025-09-05,0.79,0.79,0.79,0.79,0.79
2025-09-06,0.79,0.79,0.79,0.79,0.79
2025-09-07,0.78,0.78,0.78,0.78,0.78
2025-09-08,0.78,0.78,0.78,0.78,0.78
2025-09-09,0.78,0.78,0.78,0.78,0.78
2025-09-10,0.80,0.80,0.80,0.80,0.80
2025-09-11,0.80,0.80,0.80,0.80,0.80
2025-09-12,0.80,0.80,0.80,0.80,0.80
2025-09-13,0.79,0.79,0.79,0.79,0.79
2025-09-14,0.78,0.78,0.78,0.78,0.78
2025-09-15,0.77,0.77,0.77,0.77,0.77
2025-09-16,0.77,0.77,0.77,0.77,0.77
2025-09-17,0.77,0.77,0.77,0.77,0.77
2025-09-18,0.76,0.76,0.76,0.76,0.76
2025-09-19,0.76,0.76,0.76,0.76,0.76
2025-09-20,0.76,0.76,0.76,0.76,0.76
2025-09-21,0.78,0.78,0.78,0.77,0.78
2025-09-22,0.83,0.83,0.82,0.81,0.82
2025-09-23,0.98,0.91,0.86,0.85,0.90
2025-09-24,0.85,0.84,0.83,0.82,0.84
2025-09-25,0.82,0.82,0.82,0.82,0.82
2025-09-26,0.82,0.82,0.82,0.82,0.82
2025-09-27,0.82,0.82,0.80,0.80,0.81
2025-09-28,0.79,0.79,0.79,0.78,0.79
2025-09-29,0.78,0.78,0.77,0.77,0.78
2025-09-30,1.21,1.02,0.92,0.89,1.01
